Name,Level,School,Spell_Type,Target,Casting_Time,Conc,Ritual,Duration,Range,Components,Scales_with_level,,Origin,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard,Other,Professional,Cursed,Feyblood,Web_Description
Adamantine Bones,6,Necromancy,"Protection, Damage",One Skeleton,Action,No,Yes,Instantaneous,Touch,"V, S, M (1 pound of adamantine worth 1000 gp, which is consumed in the casting)",Yes,,"Book of Lost Spells,2018-01-07",No,Death,No,No,No,Dread,No,Yes,No,No,No,No,"One skeleton that you touch gains immunity to bludgeoning, slashing, and piercing damage from nonmagical weapons that are not made of adamantine, and resistance to bludgeoning, slashing, and piercing damage from magical weapons that are not made of adamantine. <br>&nbsp; <b>At Higher Levels.</b> For each spell slot used higher than 6th level, you can affect one additional skeleton."
Adamantine Mace,4,Transmutation,"Buff, Weapon",Your weapon,Action,No,No,1 minute,Touch,"V, S, M (a sprinkle of diamond powder, worth 10 gp)",No,,New,No,"Forge,Strength,Dwarven rune",No,"Yes,Stonelord",No,Stone,Eternal Citadel,No,No,Smith,No,No,"You transform your own cudgel, mace, staff, or other bludgeoning weapon into one made of pure elemental adamantine. In your hands it does an additional 2d12 bludgeoning damage on a successful hit and acts as a magical weapon."
Advance the Years,3,Necromancy,Debuff,One Target,Action,Yes,No,1 minute,Touch,"V, S, M (a lock of an elderly person’s hair)",Yes,,"Book of Lost Spells,2018-01-07",No,Time,No,No,No,"Dread,Ethereal,Oozemaster,Plaguebringer,Time thief","Archfey,Crone,Death,Ghost",Yes,No,No,No,Yes,"You touch a creature, and that creature becomes cursed with age unless is makes a successful Constitution saving throw. The creature becomes wizened and enfeebled and has disadvantage on Strength, Dexterity, and Constitution-based ability checks, attack rolls, skill rolls, and saving throws. It does half damage with weapon attacks. This effect can be ended by magic that removes curses.<br>&nbsp; <b>At Higher Levels.</b> If you cast this spell using a spell slot of 4th level or higher, the duration is concentration, up to 10 minutes. If you use a spell slot of 5th level or higher, the duration is 8 hours. If you use a spell slot of 7th level or higher, the duration is 24 hours. If you use a 9th level spell slot, the spell lasts until dispelled. Using a spell slot of 5th level or higher grants a duration that doesn’t require concentration."
Aganazzar's Scorcher,2,Evocation,"Damage, Fire",Line 30 ft,Action,No,No,Instantaneous,30 ft,"V, S, M (a red dragon’s scale)",Yes,,Xanathar,No,No,No,No,No,"Ashen,Draconic,Dune child,Fiendish,Phoenix","Ashen Wolf,Pharaoh",Yes,No,Candlemaker,No,No,"A line of roaring flame 30 feet long and 5 feet wide emanates from you in a direction you choose. Each creature in the line must make a Dexterity saving throw. A creature takes 3d8 fire damage on a failed save, or half as much damage on a successful one.<br>&nbsp; <b>At Higher Levels.</b> When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd."
Agitate Crowd,7,Enchantment,Charm,Radius 60 ft,10 minutes,No,No,8 hours,Self,"V, S",No,,"Book of Lost Spells,2018-01-07",Yes,"Celebration,Charm,Leadership,Order,Survival,Trickery",No,No,No,"Aberrant,Divine soul,Ethereal,Fiendish,Pandemonic,Wishcrafter","Emergent Mind,Hesperia,Pharaoh,Seducer,Storm Lord,Weaver of Lies",No,No,"Diplomat,Psychologist",No,Boggart,"This spell enables you to sway a large group of people toward accomplishing a specific goal. You must speak emphatically on the subject for 10 minutes, playing on the crowd’s emotions and reason, to inflame their fervor for or against a cause or person. You must be clear about the specific goal you want to achieve. For example, shouting that “The Academy of Wizards is evil and corrupt!” might make people dislike the academy, but it won’t spur them to action because it doesn’t tell them what to do. Adding “Follow me, and we’ll burn it to the ground!” will send a crowd of torch-bearing arsonists to the academy tower. The spell affects all sentient creatures that are able to hear and understand you within 60 feet.<br>When you finish casting the spell, all potential targets of the spell who fail a Wisdom saving throw are compelled to follow your instructions for the duration of the spell, as long as those orders are in keeping with the goal stated in the speech and you personally lead them. If these conditions aren’t met, the spell ends and the crowd becomes hostile toward you. The spell also ends when the goal has been achieved."
Aid,2,Abjuration,"Buff, HP",Up to 3 targets,Action,No,No,8 hours,30 ft,"V, S, M (a tiny strip of white cloth)",Yes,,PHB,No,"Yes,Agriculture,Leadership,Survival",No,"Yes,Stonelord",Herbalist,"Divine soul,Wishcrafter",No,No,No,"Cook,Psychologist",No,Sylph,"Your spell bolsters your allies with toughness and resolve. Choose up to three creatures within range. Each target’s hit point maximum and current hit points increase by 5 for the duration.<br><b>At Higher Levels.</b> When you cast this spell using a spell slot of 3rd level or higher, a target’s hit points increase by an additional 5 for each slot level above 2nd."
Air Bridge,3,Transmutation,"Utility, Air",Two points up to 60 ft apart,Action,Yes,Yes,10 minutes,120 ft,"V, S",Yes,,"Book of Lost Spells,2018-01-07",No,Balanced scale of Abadar,"Land - Mountain,Land - Underdark",No,No,"Frozen heart,Storm","Eternal Citadel,Storm Lord",Yes,No,No,No,No,"You solidify the air, creating an invisible bridge up to 60 feet long and 10 feet wide that connects two points of your choosing. Both ends of the bridge must be within the spell’s range, and both must be solid objects that can support the weight of whatever physical objects cross the bridge. The bridge itself has no weight. Anyone can cross this bridge while it exists, provided they know where it is. <br>&nbsp; <b>At Higher Levels.</b> When you cast air bridge using a slot of 5th level or higher, the bridge is substantial only to those you nominate; to all others, it does not exist. This is also true if you cast the spell as a ritual and are capable of casting 5th level spells."
Air Mastery,0,Transmutation,"Utility, Air",In range,Action,Yes,No,1 hour,30 ft,"V, S",Yes,,"New,2017-12-29",No,"Ocean,Tempest",Yes,No,No,"Autumnal,Dune child,Pandemonic,Storm",Storm Lord,Yes,No,No,No,Yes,"You seize the air and compel it to gently blow from a direction of your choice. You may spend an action to redirect the winds and create a harmless sensory effect using air, such as extinguishing candles, causing leaves to rustle, wind to slam shutters shut, or your clothing to ripple in a breeze. This spell does not function without air or underwater.<p>While this spell is in effect, you can use your reaction to create the following effects:<br>&nbsp; ♦ Until the start of your next turn, you have resistance against bludgeoning, piercing, and slashing damage dealt by ranged attacks.<br>&nbsp; ♦ Cushion your fall, reducing your effective falling distance by 30 ft.<p>At any time you may end the spell as a bonus action to create one of the following effects at a point you can see within range:<br>&nbsp; ♦ One Medium or smaller creature that you choose must succeed on a Strength saving throw or be pushed up to 5 feet away from you.<br>&nbsp; ♦ Create a small blast of air capable of moving one object that is neither held nor carried and that weighs no more than 10 pounds. The object is pushed up to 10 feet away from you. It isn’t pushed with enough force to cause damage.<p><b>At Higher Levels</b><br>At 5th level, you double the distance you can push a target (10 or 20 ft). At 11th level, you can push heavier creatures and objects (large creatures and objects weighing 20 pounds). At 17th level, you can push targets double the distance (20 or 40 ft).<p><b>Continuous effect</b><br>If you know this cantrip, you are very accustomed to this spell, gaining the following benefits:<br>&nbsp; ♦ If you can cast level 1 spells, you may add one of the <i> Control Winds</i> or <i> Dust Devil</i> spells to your spells known."
Air Wave,1,Conjuration,"Attack, Weapon,Air",1 target,Action,No,No,Instantaneous,30 ft,V,Yes,,"New,2018-01-04","Dance,Calligraphy",No,No,No,No,"Relicker,Storm",Storm Lord,Yes,No,No,No,No,"With a swing of your weapon, you attack a target within range with a wave of cutting air. Make a melee weapon attack against the target as if you were adjacent to it. If you are wielding one weapon in each hand, your attack deals an additional 1d6 damage. Attacks made with this spell deal slashing damage, no matter what weapon you are wielding.<p><b>Empowered casting:</b><br>If you spend a 1st (or higher) spell slot when casting this spell, you can create the following effects:<br>&nbsp; ♦ You may use your spellcasting ability instead of Strength or Dexterity for the attack and damage roll.<br>&nbsp; ♦ For each slot level spent when casting, you increase the damage by 1d6.<br>&nbsp; ♦ For each slot level spent when casting, you increase the range by 30 ft.<br>&nbsp; ♦ Spending 1 spell slot allows you to increase the duration to 1 minute, with concentration."
Airboat,8,Transmutation,"Move, Flight",One cloud,Action,Yes,Yes,12 hours,1 mile,"V, S, M (a wisp of wool covered in silver dust worth at least 100gp, which the spell consumes)",Yes,,New,Purity,"Hunting,Nature",Yes,No,No,"Oceanic,Storm,Wishcrafter",Storm Lord,Yes,No,No,No,No,"You must be outside to cast this spell. You point to a cloud, which immediately descends towards you and changes shape until it becomes a ship made of clouds. You and up to eight other creatures of your choice may board the airboat, which flies at a speed of 100 feet under your telepathic command.  You are considered to have proficiency with the airboat. The airboat has an AC of 13 and 20 hit points.<br>&nbsp; <b>At Higher Levels. </b>When cast with a 9th-level spell slot, you may bring up to sixteen other creatures onboard with you."
Alarm,1,Abjuration,Guarding,Radius 20 ft,1 minute,No,Yes,8 hours,30 ft,"V, S, M (a tiny bell and a piece of fine silver wire)",No,,PHB,Doors,Order,No,No,Yes,Yes,Ancient Dragon,Yes,No,"Archaeologist,Candlemaker,Diplomat","Yes,_Ritual_",No,"You set an alarm against unwanted intrusion. Choose a door, a window, or an area within range that is no larger than a 20-foot cube. Until the spell ends, an alarm alerts you whenever a Tiny or larger creature touches or enters the warded area. When you cast the spell, you can designate creatures that won’t set off the alarm. You also choose whether the alarm is mental or audible.<br>&nbsp; A mental alarm alerts you with a ping in your mind if you are within 1 mile of the warded area. This ping awakens you if you are sleeping.<br>&nbsp; An audible alarm produces the sound of a hand bell for 10 seconds within 60 feet."
Alleviate Discomfort,0,Evocation,Healing,One creature,Action,No,No,Instantaneous,Touch,"V, S",No,,"New,2018-10-17",Purity,Yes,Yes,No,No,No,No,No,No,No,Chosen,Sylph,"This spell might be seen being used by small time priests and annointers, or any cleric-in-training at a temple, or any other fitting place of healing. You perform one of the following tasks:<br><br>&nbsp; ♦ You painlessly cure some small ailment, such as a boil or sore, or close a small wound, such as a minor cut or scrape.<br>&nbsp; ♦ You touch a creature that is feeling physical pain from some non-magical affliction or injury. The touched creature gains 1 temporary HP and feels a relieving sensation upon the touched area and any source of pain afflicting them.<br>&nbsp; ♦ You touch a wound and cause it to stop bleeding. <br>&nbsp; ♦ Touching a willing creature lightly on the temples, you ease them into a gentle state of rest, allowing them to peacefully drift to sleep naturally."
Alter Self,2,Transmutation,Change,Self,Action,Yes,No,1 hour,Touch,"V, S",No,,PHB,"Masks,Mirrors,Whispers",Trickery,"Blood,Moon",Waves,No,Yes,"Archfey,Cosmic Machine,Crone,Fiend,Great Old One,Monstrosity,Oberon,Seducer,Weaver of Lies",Yes,No,Diplomat,"Beyond,Sealed dragon",No,"You assume a different form. When you cast the spell, choose one of the following options, the effects of which last for the duration of the spell. While the spell lasts, you can end one option as an action to gain the benefits of a different one. <br>&nbsp; <b>Aquatic Adaptation.</b> You adapt your body to an aquatic environment, sprouting gills and growing webbing between your fingers. You can breathe underwater and gain a swimming speed equal to your walking speed. <br>&nbsp; <b>Change Appearance.</b> You transform your appearance. You decide what you look like, including your height, weight, facial features, sound of your voice, hair length, coloration, and distinguishing characteristics, if any. You can make yourself appear as a member of another race, though none of your statistics change. You also can’t appear as a creature of a different size than you, and your basic shape stays the same; if you're bipedal, you can’t use this spell to become quadrupedal, for instance. At any time for the duration of the spell, you can use your action to change your appearance in this way again. <br>&nbsp; <b>Natural Weapons.</b> You grow claws, fangs, spines, horns, or a different natural weapon of your choice. Your unarmed strikes deal 1d6 bludgeoning, piercing, or slashing damage, as appropriate to the natural weapon you chose, and you are proficient with your unarmed strikes. Finally, the natural weapon is magic and you have a +1 bonus to the attack and damage rolls you make using it."
Analyze Blood,0,Necromancy,Investigate,Blood,Action,No,Yes,1 hour,Touch,"V, S",Yes,,"New,2018-10-18",Secrets,Knowledge,No,No,No,"Ashen,Dread,Wishcrafter",Vampire,Yes,No,No,"Alchemical,Lycanthropic",No,"This spell can tell the caster something about a specific creature from some of its blood. When cast on a sample of fresh blood (less than 24 hours old), the caster gains knowledge about the nature and location of the donor. It can tell something about the creature’s lifestyle, habits, its current state, and a general idea of its current direction and distance. This spell will not work if the creature is on another plane."
Angel's Cloak,6,Abjuration,"Protection, Damage, Magic",One creature,Action,Yes,No,10 minutes,Touch,"V, S, M (a feather)",No,,"Book of Lost Spells,2018-01-07",Faith,"Fate,Leadership,Life,Protection",No,No,No,"Divine soul,Star touched",No,No,No,No,No,No,"One willing creature you touch is blessed with the protective qualities of angels. For the duration of the spell, the target creature gains resistance to radiant damage and to nonmagical bludgeoning, piercing, and slashing damage. It also has advantage on saving throws against spells and other magical effects."
Animal Friendship,1,Enchantment,"Charm, Beast",1 beast,Action,No,No,1 day,30 ft,"V, S, M (a morsel of food)",No,,PHB,"Beasts,Glamour,Purity,Pied piper","Agriculture,Nature",Yes,No,Yes,No,"Ancient Toad,Crone,Hesperia,Oberon,Shadowcat",No,Barbarian - Bloodrager,"Diplomat,Forester",Lycanthropic,Yes,"This spell lets you convince a beast that you mean it no harm. Choose a beast that you can see within range. It must see and hear you. If the beast’s Intelligence is 4 or higher, the spell fails. Otherwise, the beast must succeed on a Wisdom saving throw or be charmed by you for the spell’s duration. If you or one of your companions harms the target, the spells ends. <br>&nbsp; <b>At Higher Levels.</b> When you cast this spell using a spell slot of 2nd level or higher, you can affect one additional beast for each slot level above 1st."
Animal Husbandry,0,Enchantment,"Control, Beast",In range,Action,Yes,No,1 hour,30 ft,"V, S",No,,"New,2018-10-16",Beasts,"Agriculture,Nature,Survival",Yes,No,No,"Ashen,Wishcrafter","Crone,Oberon",No,No,Forester,Lycanthropic,Yes,"This cantrip only works on domesticated animals and can be used for several animal related tasks. Unless otherwise noted, the spell lasts for up to one hour. Select one of the following effects:<br><br>&nbsp; ♦ Leader of the Pack: Cast on a a pack/herd of domesticated animals, it designates you as the leader. The animals will attempt to follow the caster.<br>&nbsp; ♦ Courier: Give the target animal a message or package to carry and say the name of the person you want it delivered to. The animal will attempt to deliver the package as long as the journey does not put it in jeopardy.<br>&nbsp; ♦ Bawk: This spell is cast on a rooster. It will remain silent for up to 12 hours (decided at the time of casting), unless an unknown humanoid or large predator enters its range of vision.<br>&nbsp; ♦ Invisible Fence: Designate an area with no larger than 100 ft radius. Any domesticated animals, wild animal (friendly to the caster), or small children (under the caster's guardianship) will not go beyond the area. Note: Frightened creatures may still cross the barrier.<br>&nbsp; ♦ Beast Whisperer: Create a weak psychic link with a domesticated animal, usually a mount or pack animal, lasting for up to 8 hours. It gives an advantage to animal handling checks specific to that beast for the duration of the spell. This connection can also allows the animal to warn the caster of danger, help the caster to calm them if spooked, or impart simple ideas such as “stay put” or “follow me.” This does not allow full communication of ideas or feelings, as with a familiar."
Animal Messenger,2,Transmutation,"Communicate, Beast",1 beast,Action,No,Yes,1 day,30 ft,"V, S, M (a morsel of food)",No,,PHB,"Awakened art,Beasts,Pied piper,Purity","Agriculture,Nature",Yes,No,Yes,No,"Ancient Toad,Archfey,Crone,Oberon,Shadowcat",No,No,"Diplomat,Forester",No,Yes,"By means of this spell, you use an animal to deliver a message. Choose a Tiny beast you can see within range, such as a squirrel, a blue jay, or a bat. You specify a location, which you must have visited, and a recipient who matches a general description, such as “a man or woman dressed in the uniform of the town guard” or “a red-haired dwarf wearing a pointed hat.” You also speak a message of up to twenty-five words. The target beast travels for the duration of the spell toward the specified location, covering about 50 miles per 24 hours for a flying messenger, or 25 miles for other animals. <br>&nbsp; When the messenger arrives, it delivers your message to the creature that you described, replicating the sound of your voice. The messenger speaks only to a creature matching the description you gave. If the messenger doesn’t reach its destination before the spell ends, the message is lost, and the beast makes its way back to where you cast this spell. <br>&nbsp; <b>At Higher Levels.</b> If you cast this spell using a spell slot of 3nd level or higher, the duration of the spell increases by 48 hours for each slot level above 2nd."
Animal Shapes,8,Transmutation,"Change, Beast",In range,Action,Yes,No,1 day,30 ft,"V, S",No,,PHB,"Beasts,Glamour,Fools,Purity","Agriculture,Nature",Yes,No,No,"Arachnid,Oceanic,Wishcrafter","Archfey,Crone,Hesperia,Hive",No,No,Forester,No,Yes,"Your magic turns others into beasts. Choose any number of willing creatures that you can see within range. You transform each target into the form of a Large or smaller beast with a challenge rating of 4 or lower. On subsequent turns, you can use your action to transform affected creatures into new forms. <br>&nbsp; The transformation lasts for the duration for each target, or until the target drops to 0 hit points or dies. You can choose a different form for each target. A target’s game statistics are replaced by the statistics of the chosen beast, though the target retains its alignment and Intelligence, Wisdom, and Charisma scores. The target assumes the hit points of its new form, and when it reverts to its normal form, it returns to the number of hit points it had before it transformed. If it reverts as a result of dropping to 0 hit points, any excess damage carries over to its normal form. As long as the excess damage doesn’t reduce the creature’s normal form to 0 hit points, it isn’t knocked unconscious. The creature is limited in the actions it can perform by the nature of its new form, and it can’t speak or cast spells. <br>&nbsp; The target’s gear melds into the new form. The target can’t activate, wield, or otherwise benefit from any of its equipment. "
Animate Blood,3,Necromancy,"Investigate, Area, Damage, Necrotic",Self,Action,Yes,No,1 hour,10 ft,"V, S, M (droplets of your blood)",Yes,,"New, 2016-06-15",No,No,No,No,No,"Aberrant,Dread,Oozemaster,Plaguebringer","Crone,Great Old One,Jubilex,Pharaoh,Undying,Vampire",Yes,No,No,"Alchemical,Beyond",No,"You animate droplets of your own blood to act under your command. For every two hit points expended in the casting of this spell, you create a droplet of animated blood. On each of your turns, you can use a bonus action to mentally command the droplets to move as long as they are within 120 feet of you. The droplets have a speed of 30 feet, and a climbing speed of 15 feet.<br>As an action on your turn, you can choose to see and hear from the location of one of the blood droplets until the end of your turn, becoming blinded and deafened to your own surroundings.<br>Additionally, you may instead use your action to cause one of the droplets to explode in a burst of necromantic energy, destroying the droplet and damaging surrounding creatures. Each creature within 5 feet of the droplet must make a Dexterity saving throw. The creature takes 4d6 necrotic damage on a failed save, or half damage on a successful one.<br><b>At Higher Levels</b>. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d6 for each slot level above 3rd."
Animate Dead,3,Necromancy,"Summon, Undead",1 dead creature,1 minute,No,No,Instantaneous,10 ft,"V, S, M (a drop of blood, a piece of flesh, and a pinch of bone dust)",Yes,,PHB,No,Death,Spores,No,No,Dread,"Emergent Mind,Undying",Yes,No,No,Shadowcursed,No,"This spell creates an undead servant. Choose a pile of bones or a corpse of a Medium or Small humanoid within range. Your spell imbues the target with a foul mimicry of life, raising it as an undead creature. The target becomes a skeleton if you chose bones or a zombie if you chose a corpse (the DM has the creature’s game statistics). <br>&nbsp; On each of your turns, you can use a bonus action to mentally command any creature you made with this spell if the creature is within 60 feet of you (if you control multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete. <br>&nbsp; The creature is under your control for 24 hours, after which it stops obeying any command you’ve given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature again before the current 24-hour period ends. This use o f the spell reasserts your control over up to four creatures you have animated with this spell, rather than animating a new one. <br>&nbsp; <b>At Higher Levels.</b> W hen you cast this spell using a spell slot of 4th level or higher, you animate or reassert control over two additional undead creatures for each slot level above 3rd. Each of the creatures must come from a different corpse or pile of bones."
Animate Doll,0,Transmutation,"Summon, Construct",One humanoid doll,Action,Yes,Yes,1 hour,Touch,"V, S",No,,"New,2020-02-09","Mad god,Marionettist,Tales",Trickery,No,No,No,"Ethereal,Wishcrafter","Crone,Emergent Mind",Yes,No,No,"Demonic,Shadowcursed,_Ritual_",Boggart,"You can animate a humanoid doll, no higher than 2 ft, for a short time. This will not allow the construct to move parts that are not constructed to be movable, so a rigid metal figurine would not gain mobility while a ragdoll will. The construct cannot speak, but understand your spoken commands. The commands will be obeyed to the letter, as the construct is not capable of any reasoning or independent though. It is too weak to harm anyone, and has a speed of 10 ft. After a doll has been animated, you cannot animate the same doll until the next day."
Animate Element,1,Conjuration,"Summon, Element",In range,Action,Yes,No,1 hour,30 ft,"V, S, M (a bit of the element summoned)",No,,"New,2016-08-04",Awakened art,No,Yes,No,No,"Ashen,Frozen heart,Oceanic,Phoenix,Stone,Storm",Pharaoh,Yes,No,No,No,No,"You summon one elemental of challenge rating 1⁄4 or lower that appears in an unoccupied space that you can see within range. The type of elemental may be restricted by your archetype. The elemental disappears when it is reduced to 0 hp or when the spell ends. The elemental is friendly toward you and any allies. The elemental obeys all verbal commands you give it. It will not act if not ordered too, but will defend itself is attacked. You direct the elemental on your turn without having to spend any actions.<br><b>At Higher Levels</b>. When you cast this spell using a spell slot of 2nd level or higher, you can summon one additional elemental per spell level above 1st."
